month;day;hour;P [W]
2;17;:2310;0
2;18;:0010;0
2;18;:0110;0
2;18;:0210;0
2;18;:0310;0
2;18;:0410;0
2;18;:0510;0
2;18;:0610;0
2;18;:0710;105.13
2;18;:0810;179.0063636
2;18;:0910;160.4318182
2;18;:1010;252.8618182
2;18;:1110;277.2036364
2;18;:1210;280.9181818
2;18;:1310;226.3727273
2;18;:1410;187.4390909
2;18;:1510;95.29909091
2;18;:1610;0
2;18;:1710;0
2;18;:1810;0
2;18;:1910;0
2;18;:2010;0
2;18;:2110;0
2;18;:2210;0
2;18;:2310;0
2;19;:0010;0
2;19;:0110;0
2;19;:0210;0
2;19;:0310;0
2;19;:0410;0
2;19;:0510;0
2;19;:0610;0
2;19;:0710;45.93636364
2;19;:0810;124.8881818
2;19;:0910;146.1690909
2;19;:1010;265.2790909
2;19;:1110;272.0890909
2;19;:1210;259.8127273
2;19;:1310;267.3609091
2;19;:1410;203.7527273
2;19;:1510;115.0209091
2;19;:1610;0
2;19;:1710;0
2;19;:1810;0
2;19;:1910;0
2;19;:2010;0
2;19;:2110;0
2;19;:2210;0
2;19;:2310;0
2;20;:0010;0
2;20;:0110;0
2;20;:0210;0
2;20;:0310;0
2;20;:0410;0
2;20;:0510;0
2;20;:0610;0
2;20;:0710;98.35454545
2;20;:0810;216.0272727
2;20;:0910;308.8463636
2;20;:1010;393.3554545
2;20;:1110;425.87
2;20;:1210;400.7863636
2;20;:1310;326.5472727
2;20;:1410;282.1163636
2;20;:1510;166.3154545
2;20;:1610;0
2;20;:1710;0
2;20;:1810;0
2;20;:1910;0
2;20;:2010;0
2;20;:2110;0
